,Taurocholic acid,Ursocholic acid,7-Dehydrocholic acid,Propionic acid,Isovaleric acid,Tauroursodeoxycholic acid,Valeric acid,2-Methylbutyric acid,Glycoursodeoxycholic acid,Taurochenodeoxycholic acid,Isobutyric acid,Hexanoic acid,Desaminotyrosine,Glycocholic acid,Glycochenodeoxycholic acid
VC_117_5,0.000574585111303033,0.0209837225054152,0.267487776380322,7.73036703569459e-05,0.000468712010375434,0.00888479717234805,0.000717545059708681,0.000983075257877525,0.00708196242724951,0.00446271339731915,0.000636824039690009,0.884317156942002,0.0326376020501114,0.0261381346396782,0.256264882610179
VC_117_2,0.0150499485550819,0.0263332263189912,0.362356717446637,0.000570810451727646,0.00152020162443796,0.00507282353610942,0.00708196242724951,0.00238164137239144,0.0250672696675779,0.0348581313456757,0.00341814415572882,0.9647160884799,0.152271463958475,0.16887990541122,0.729749799999002
VC_612_0,0.0622423565706726,0.458572400510809,0.98065332964216,5.68290991163627e-06,0.000100973104033467,0.000717545059708681,0.000698863007258837,0.000331313106814376,0.0772391446758866,0.00164674561334028,9.12522126569031e-05,0.556504606020587,0.118230768513039,0.194194233632366,0.695698697132331
VC_390_0,0.00988025753826948,0.827755242988942,0.273931796679755,0.00744982752205276,0.00657790891438755,0.000937577484577038,0.0829209379192587,0.0250672696675779,0.0409668382277975,0.000295541366572632,0.0113977028336236,0.190988190058296,0.430857274664003,0.004375825747583,0.539320824131739
VC_502_1,0.00335022079465772,0.0755264593969913,0.519246269977884,0.000717545059708681,0.00308392063587059,0.012553456112465,0.00341814415572882,0.00794512649089265,0.0352376031109833,0.100318761852466,0.0030750109936261,0.590641304150058,0.196657322954704,0.27498344076479,0.797720948497094
VC_611_1,0.0010183833935414,0.1227027079651,0.705851038659,0.000461315484552911,0.000877295255980158,0.00486290829961963,0.000636824039690009,0.001371959012993,0.0093089193118414,0.00605457748059581,0.0010183833935414,0.824080204974438,0.180621144069349,0.0126189545951359,0.984401024943887
VC_122_0,0.0261093874891255,0.0125155556651776,0.0742318775926356,4.53594960161674e-05,0.000574585111303033,0.0101640717960212,0.000568253283282849,0.00258236583145947,0.194194233632366,0.0255607505317877,0.00398742708956984,0.207910583817966,0.0268179044588992,0.07982415640328,0.901278593259254
VC_241_3,0.00507282353610942,0.048426417843752,0.207910583817966,2.52287939808624e-05,0.000574585111303033,0.00988025753826948,0.000331313106814376,0.00139490725620727,0.0508435154927102,0.0193842041775936,0.0010183833935414,0.344689125775236,0.0255607505317877,0.0352376031109833,0.706768998124011
VC_385_0,0.00790604918754952,0.685421470810157,0.774700808686484,0.00617345270538928,0.0202893976191766,0.0566480630139667,0.0957581024898524,0.0428827580410844,0.116805673926338,0.0663165841444701,0.0151126350938219,0.667855288844482,0.811745377815837,0.0385637822684707,0.770278018824988
G23J_7937V__8187,0.0203889117025971,0.00714212480595697,0.196739109020835,7.92950834047153e-05,0.000574585111303033,0.0200462289626517,0.0010183833935414,0.000766282792184697,0.0982954589254738,0.0348581313456757,0.000717545059708681,0.590641304150058,0.07982415640328,0.100318761852466,0.741503323422255
VC_1254_0,0.00152020162443796,0.0982954589254738,0.586491086453592,0.0107111609358441,0.045532948291879,0.0191391175458178,0.0326376020501114,0.0540607200397061,0.0173112248050129,0.116805673926338,0.0566480630139667,0.935815731904645,0.292876068302793,0.109763013666135,0.112461909896742
VC_117_7,0.0982954589254738,0.00297488720779485,0.0305715597839472,9.12522126569031e-05,0.000877295255980158,0.0191391175458178,0.000724683990300905,0.00335022079465772,0.0473847939441743,0.0719641017398385,0.00805607794081404,0.605654553688387,0.0189309558756469,0.18368017657296,0.845954355503506
VC_470_0,0.000513604907020997,0.253576171001409,0.964331131015439,0.00605457748059581,0.0254390164774645,0.0473260133145508,0.0834250184807347,0.0255607505317877,0.00552601872473989,0.071217898101236,0.0251872705239723,0.519246269977884,0.370289321598359,0.0600481150572824,0.395736889260981
VC_470_1,0.00888479717234805,0.0374213923660664,0.308666404461113,0.000717545059708681,0.0171337414811836,0.0268179044588992,0.0251872705239723,0.0229700722305882,0.0347985785365077,0.18368017657296,0.0125155556651776,0.605654553688387,0.224066401808534,0.41831257124392,0.776679488135991
VC_191_0,0.0093089193118414,0.41831257124392,0.981064218209663,5.68290991163627e-06,0.000117648037576286,0.000636824039690009,0.000295541366572632,0.000624079332041649,0.0921577708090983,0.000766282792184697,0.000331313106814376,0.685421470810157,0.228485159755143,0.033039323822644,0.58749589151205
