,G03J_7879_V5__1487,G01M_8418_V__1487,BAC7_V__1487,G21F_7876_V1__1487,G01M_8519_V__1487,G23J7928V2__1319,G01M_8399_V__1357,VC_186_5,BAW1_V__3764,G21F_7946_V4__3880,VC_460_0,VC_32_0,AWG0_V__9813,BBD0_V__1911,VC_344_0
unidentified,0.495285241503878,0.420332918816428,0.581653074164238,0.474015295801882,0.454309755332103,0.380750869964652,0.641062562236174,0.731858714605835,0.527738556508748,0.581653074164238,0.898525010494611,0.967322538309608,0.495285241503878,0.0737619442070236,0.862636092409748
unidentified,0.791544086527098,0.8898472382695,0.862636092409748,0.862636092409748,0.874903749727173,0.478786886017013,0.536916423709817,0.380750869964652,0.820127056775574,0.558960525272957,0.810273735206931,0.935064203390426,0.787047866847161,0.390495444219485,0.853920275408831
NA,0.862636092409748,0.897719307990029,0.862636092409748,0.8898472382695,0.907848626020349,0.967322538309608,0.936424781922597,0.700487744847066,0.536916423709817,0.862636092409748,0.961330266177069,0.100213385639547,0.823741066471155,0.495879971577469,0.862636092409748
unclassified_Saccharomycetaceae,0.967322538309608,0.999137308752608,0.935304027930299,0.879796844041685,0.967954290587559,0.360426330871355,0.380750869964652,0.0737619442070236,0.495285241503878,0.375290095095453,0.883384055578069,0.810273735206931,0.862636092409748,0.810273735206931,0.812977932664461
Talaromyces,0.772760769581572,0.360426330871355,0.375290095095453,0.495285241503878,0.404631798516637,0.100213385639547,0.0737619442070236,0.810273735206931,0.269811396155163,0.0737619442070236,0.269811396155163,0.967954290587559,0.495285241503878,0.862636092409748,0.0674688438852546
Penicillium,0.858164943248915,0.495285241503878,0.495285241503878,0.812977932664461,0.478786886017013,0.269811396155163,0.248660124347381,0.839570702241793,0.269811396155163,0.248660124347381,0.100213385639547,0.977433425267969,0.32330310267641,0.700487744847066,0.0674248898423945
Meyerozyma,0.862346979031375,0.779451569839798,0.810273735206931,0.8898472382695,0.862636092409748,0.599503739898233,0.541623095605149,0.363523815040983,0.4342178375896,0.766381734154948,0.495285241503878,0.8898472382695,0.898525010494611,0.666912765022756,0.495285241503878
Candida,0.960462714792935,0.908233394330697,0.967954290587559,0.970751207645605,0.898525010494611,0.100213385639547,0.190314563821061,0.183681605660927,0.862636092409748,0.183681605660927,0.820127056775574,0.926731211045815,0.731858714605835,0.54815612816105,0.898525010494611
unclassified_Debaryomycetaceae,0.812977932664461,0.80414548976954,0.808955830649708,0.935304027930299,0.862636092409748,0.998638917775455,0.967954290587559,0.810273735206931,0.333671020348041,0.950293771674733,0.80414548976954,0.8898472382695,0.776922862994074,0.984393868389402,0.495285241503878
unclassified_Dipodascaceae,0.783151271433318,0.83494895795154,0.862346979031375,0.812977932664461,0.999137308752608,0.862636092409748,0.862636092409748,0.950733620078909,0.700487744847066,0.862636092409748,0.862636092409748,0.862636092409748,0.360426330871355,0.914627949035378,0.862636092409748
Aspergillus,0.269811396155163,0.32330310267641,0.381028633107412,0.274630086176632,0.269811396155163,0.810273735206931,0.862346979031375,0.474015295801882,0.83494895795154,0.862636092409748,0.845642262257501,0.604698350014308,0.862346979031375,0.269811396155163,0.474015295801882
unidentified_100,0.862346979031375,0.734056364599359,0.883384055578069,0.866629155699286,0.853920275408831,0.999137308752608,0.876862294823718,0.360426330871355,0.862636092409748,0.94559891597142,0.950293771674733,0.999137308752608,0.960462714792935,0.961330266177069,0.862636092409748
NA,0.862636092409748,0.839570702241793,0.866629155699286,0.69438526296978,0.766381734154948,0.0737619442070236,0.116366031536466,0.380750869964652,0.862346979031375,0.100213385639547,0.898525010494611,0.862346979031375,0.731858714605835,0.527022335713965,0.862636092409748
Cladosporium,0.862636092409748,0.862636092409748,0.883384055578069,0.812977932664461,0.862346979031375,0.862636092409748,0.862636092409748,0.862636092409748,0.871738972284725,0.862346979031375,0.862636092409748,0.812977932664461,0.862346979031375,0.998638917775455,0.862636092409748
unclassified_Aspergillaceae,0.0674248898423945,0.0737619442070236,0.0674248898423945,0.111949526094449,0.0674248898423945,0.360426330871355,0.336830809808968,0.297554366918992,0.360426330871355,0.378644582411168,0.961330266177069,0.898525010494611,0.269811396155163,0.4342178375896,0.689234402965534
